rule,wolfram_class,g_entropy_mean,g_entropy_std,g_corr_length_mean,g_temporal_acf_mean,g_compressibility_mean
33,2,0.8887245966437959,0.05027620843366131,1.08,0.8469999999999999,0.4588118811881188
34,2,0.8655067950554229,0.05998780941156423,1.0,1.0,0.48574257425742573
35,2,0.9849686382305473,0.015543632992892287,1.0,0.8469999999999999,0.4576237623762377
36,2,0.5553522374953822,0.13954566644881478,2.08,1.0,0.35999999999999993
37,2,0.5177697961741334,0.07364689379338958,1.1,0.8448659236698766,0.3948514851485148
38,2,0.8701547057067208,0.044561831014686394,1.02,0.8367999999999999,0.4924752475247525
39,0,0.7580394402160389,0.03182441821358546,1.0,0.8435999999999999,0.4702970297029702
40,1,0.0,0.0,0.0,1.0,0.2376237623762376
41,4,0.7451683660782169,0.031287843846791154,1.0,0.42911233194464315,0.45069306930693065
42,2,0.48697456426431934,0.15754031795393217,1.68,1.0,0.3695049504950495
43,2,0.3497499385891814,0.21361038126093024,2.2,1.0,0.31623762376237624
44,2,0.7136855730316509,0.06734472048302385,1.0,1.0,0.44554455445544555
45,3,0.989550215499897,0.0013683008839200169,1.04,0.05821804034921842,0.5235643564356436
46,2,0.861128348571779,0.034025832668992145,1.0,1.0,0.46
47,0,0.8312001813651945,0.06966340036470127,1.0,1.0,0.39841584158415844
48,0,0.8938317949763507,0.05973660757350619,1.0,1.0,0.495049504950495
49,0,0.9824510974116254,0.018853306667545422,1.0,0.8401999999999998,0.45821782178217824
50,2,0.0,0.0,0.0,1.0,0.2376237623762376
51,2,0.0,0.0,0.0,1.0,0.2376237623762376
52,0,0.8637845602698552,0.038215063238657775,1.04,0.8401999999999998,0.49544554455445544
53,0,0.7604419585115513,0.028733633876303035,1.0,0.8367999999999998,0.4633663366336633
54,4,0.8507751159507149,0.11910563163059151,3.22,0.2785787349092338,0.4077227722772277
55,0,0.6832376218759199,0.08134166437228822,1.0,1.0,0.4475247524752475
56,2,0.781776332380882,0.12585644865743734,1.36,1.0,0.45445544554455436
57,2,0.24555556389829702,0.15373939485005625,1.98,0.8271017439586437,0.2926732673267327
58,2,0.7198548509279945,0.18176859382362487,2.58,0.9822088526205787,0.36792079207920786
59,0,0.848419503336392,0.129615746002469,1.98,0.8435999999999999,0.44198019801980193
60,3,0.0,0.0,0.0,1.0,0.2376237623762376
61,0,0.9449416307365833,0.02964088889843646,1.02,0.5297801196493753,0.3752475247524752
62,2,0.3707403388739088,0.08377471004113807,1.1,0.39334135948395926,0.33346534653465343
63,0,0.8854172588064144,0.06744171872269739,1.22,0.8402,0.4974257425742574
64,0,0.0,0.0,0.0,1.0,0.2376237623762376
65,0,0.8302636136128708,0.04851388669445505,1.0,0.708081947652192,0.3699009900990099
66,0,0.9770562697943914,0.021856634903585564,1.72,1.0,0.4607920792079208
67,0,0.8864321439117446,0.021410995351054212,1.0,0.6330743825270324,0.3687128712871288
68,0,0.8884711141390327,0.046401449639027315,1.0,1.0,0.4863366336633663
69,0,0.8233411020677373,0.08160650264714693,1.12,1.0,0.41287128712871285
70,0,0.5168849154601404,0.07353619375387205,1.0,0.83,0.38811881188118813
71,0,0.8510006235947811,0.0420000699447786,1.0,0.8571999999999999,0.5055445544554454
72,2,0.45485907163541034,0.11801484852816357,1.0,1.0,0.35465346534653464
73,3,0.962880282342785,0.028097923917234,2.7,0.261502907083279,0.43801980198019796
74,0,0.804480704806474,0.055231999499944485,1.0,0.8605999999999999,0.46772277227722775
75,3,0.9891472421135955,0.0013622392676016972,1.12,0.0587844306573275,0.527920792079208
76,2,0.7854613786722724,0.10032525465311351,1.96,1.0,0.42693069306930687
77,2,0.9802481552319549,0.029948232124784025,2.12,1.0,0.4477227722772277
78,2,0.9507221209628228,0.04667853948066876,2.18,1.0,0.41445544554455443
79,0,0.9506067172760337,0.048659782691344945,2.1,1.0,0.4158415841584159
80,0,0.5327312621962177,0.07290421941811161,1.0,1.0,0.4021782178217822
81,0,0.9523030159338358,0.024826021283183564,1.0,1.0,0.4263366336633663
82,0,0.9338771810833696,0.028785945327297724,1.18,0.5196600113326012,0.4954455445544555
83,0,0.8422069986781987,0.038689151729109326,1.0,0.8334,0.48435643564356434
84,0,0.2805687394716584,0.2716824207016491,1.42,1.0,0.29524752475247523
85,0,0.0,0.0,0.0,1.0,0.2376237623762376
