rule,t_start,duration,speed,start_position,end_position
110,220,15,-0.6071,75.0,66.5
110,206,31,-0.4333,60.0,47.0
110,199,39,-0.2763,95.0,84.5
110,211,27,0.5962,28.0,43.5
110,135,105,0.649,123.0,190.5
110,231,9,0.4375,3.0,6.5
110,219,23,0.0227,82.0,82.5
110,222,21,0.575,26.0,37.5
110,233,11,-1.0,24.0,14.0
110,212,33,-0.5625,73.0,55.0
110,224,22,0.3333,3.0,10.0
110,231,15,0.5357,73.0,80.5
110,235,11,-0.65,71.0,64.5
110,124,123,0.5369,125.0,190.5
110,238,9,0.4375,3.0,6.5
110,238,9,-0.25,47.0,45.0
110,238,12,0.5,73.0,78.5
110,136,118,0.6368,116.0,190.5
110,242,12,0.5,71.0,76.5
110,240,15,-0.6786,24.0,14.5
110,246,9,-0.5,55.0,51.0
110,247,9,-0.25,10.0,8.0
110,246,11,-0.65,69.0,62.5
110,234,24,-0.1739,55.0,51.0
110,249,9,0.4375,71.0,74.5
110,247,13,-0.625,63.0,55.5
110,147,114,0.6504,117.0,190.5
110,215,46,0.5222,26.0,49.5
110,253,9,0.4375,69.0,72.5
110,245,19,-0.1111,14.0,12.0
110,257,8,-0.5714,67.0,63.0
110,236,30,0.6034,26.0,43.5
110,157,111,0.65,119.0,190.5
110,243,27,0.5962,26.0,41.5
110,245,25,0.375,3.0,12.0
110,259,12,0.5,3.0,8.5
110,247,27,0.5962,24.0,39.5
110,161,114,0.6504,117.0,190.5
110,266,10,-0.1667,63.0,61.5
110,251,27,0.5962,22.0,37.5
110,269,11,-1.0,20.0,10.0
110,272,9,0.4375,52.0,55.5
110,165,117,0.6509,115.0,190.5
110,258,24,0.587,22.0,35.5
110,266,16,0.2,3.0,6.0
110,229,54,-0.5094,97.0,70.0
110,276,9,0.125,65.0,66.0
110,265,21,0.575,22.0,33.5
110,256,31,0.0167,59.0,59.5
110,154,135,0.5485,117.0,190.5
110,272,18,0.5588,22.0,31.5
110,276,15,-0.6786,20.0,10.5
110,276,15,0.5357,50.0,57.5
110,279,15,0.5357,22.0,29.5
110,166,130,0.6395,108.0,190.5
110,284,12,-0.4091,1.0,197.5
110,288,9,0.0,65.0,65.0
110,283,15,-0.1071,6.0,4.5
110,283,15,0.5357,20.0,27.5
110,291,9,0.0,73.0,73.0
110,187,114,0.6504,111.0,184.5
110,286,16,0.0,69.0,69.0
110,287,15,0.5357,18.0,25.5
110,227,76,-0.3133,89.0,65.5
110,177,127,0.6151,109.0,186.5
110,294,12,0.5,18.0,23.5
110,284,24,0.587,46.0,59.5
110,64,245,0.1926,141.0,188.0
110,195,114,0.6504,107.0,180.5
110,301,9,0.4375,18.0,21.5
110,296,15,-0.6071,1.0,193.5
110,303,9,0.4375,1.0,4.5
110,191,122,0.6033,109.0,182.0
110,280,34,0.4545,48.0,63.0
110,288,27,0.5962,44.0,59.5
110,184,135,0.5485,109.0,182.5
110,307,12,0.5,200.0,4.5
110,296,24,0.587,40.0,53.5
110,310,13,-0.2917,190.0,186.5
110,315,9,-0.25,63.0,61.0
110,314,12,0.5,200.0,4.5
110,318,10,-0.2778,71.0,68.5
110,196,133,0.6364,100.0,184.0
110,207,123,0.6516,101.0,180.5
110,313,17,-0.125,67.0,65.0
110,292,40,0.4872,42.0,61.0
110,300,33,0.6094,38.0,57.5
110,318,15,0.5357,198.0,4.5
110,311,23,-0.5682,198.0,185.5
110,221,114,0.6504,101.0,174.5
110,261,75,-0.5203,54.0,15.5
110,281,55,-0.0648,10.0,6.5
110,308,30,0.6034,34.0,51.5
110,217,124,0.6098,103.0,178.0
110,225,117,0.6509,99.0,174.5
110,331,11,-0.8,67.0,59.0
110,229,114,-0.1726,26.0,6.5
110,330,13,-0.2917,196.0,192.5
110,304,40,0.4872,36.0,55.0
110,312,33,0.6094,32.0,51.5
110,236,111,0.65,97.0,168.5
110,335,13,-0.5,200.0,194.0
110,320,30,0.6034,28.0,45.5
110,232,121,0.6083,99.0,172.0
110,240,114,0.6504,95.0,168.5
110,345,9,-0.25,55.0,53.0
110,348,10,-0.2778,63.0,60.5
110,248,111,0.65,91.0,162.5
110,343,17,-0.125,59.0,57.0
110,328,33,0.1562,200.0,4.0
110,316,46,0.5111,30.0,53.0
110,324,39,0.6184,26.0,49.5
110,349,14,-0.5385,196.0,189.0
110,244,121,0.6083,93.0,166.0
110,345,20,-0.7368,1.0,188.0
110,252,114,0.6504,89.0,162.5
110,344,22,-0.3095,191.0,184.5
110,332,36,0.6143,22.0,43.5
110,260,111,0.65,85.0,156.5
110,359,12,-0.2273,1.0,199.5
110,361,11,-0.8,59.0,51.0
110,328,46,0.5111,24.0,47.0
110,339,36,0.6143,22.0,43.5
110,366,9,-0.25,188.0,186.0
110,256,121,0.6083,87.0,160.0
110,264,114,0.6504,83.0,156.5
110,369,10,-0.2778,196.0,193.5
110,347,33,0.6094,18.0,37.5
110,362,19,-0.1944,4.0,0.5
110,364,17,-0.125,192.0,190.0
110,272,111,0.65,79.0,150.5
110,360,23,0.2727,180.0,186.0
110,368,16,0.2333,179.0,182.5
110,375,9,-0.25,47.0,45.0
110,378,10,-0.2778,55.0,52.5
110,268,121,0.6083,81.0,154.0
110,276,114,0.6504,77.0,150.5
110,373,17,-0.125,51.0,49.0
110,372,19,-0.1944,6.0,2.5
110,343,49,0.5208,20.0,45.0
110,351,42,0.622,16.0,41.5
110,382,11,-0.8,192.0,184.0
110,284,111,0.65,73.0,144.5
110,372,23,0.2727,174.0,180.0
110,386,9,0.4375,198.0,0.5
110,380,16,0.2333,173.0,176.5
110,358,40,0.5897,16.0,39.0
110,280,121,0.6083,75.0,148.0
110,382,19,-0.1944,8.0,4.5
110,294,108,0.6495,75.0,144.5
110,391,11,-0.8,51.0,43.0
110,355,49,0.5208,14.0,39.0
110,336,69,0.2279,20.0,35.5
110,396,9,-0.25,180.0,178.0
110,310,97,0.6302,72.0,132.5
110,399,10,-0.2778,188.0,185.5
110,380,30,0.6034,12.0,29.5
110,390,21,0.575,196.0,6.5
110,394,17,-0.125,184.0,182.0
110,301,112,0.5541,75.0,136.5
110,384,29,0.3571,168.0,178.0
110,392,22,0.3571,167.0,174.5
110,405,9,-0.25,39.0,37.0
110,321,96,0.6474,73.0,134.5
110,408,10,-0.2778,47.0,44.5
110,407,12,0.5,163.0,168.5
110,304,116,0.5174,77.0,136.5
110,403,17,-0.125,43.0,41.0
110,379,42,0.2805,198.0,8.5
110,334,88,-0.5057,189.0,145.0
110,370,52,0.5294,10.0,37.0
110,390,33,0.6094,14.0,33.5
110,412,11,-0.8,184.0,176.0
110,335,90,0.6461,73.0,130.5
110,396,29,0.3571,162.0,172.0
110,404,22,0.3571,161.0,168.5
110,410,18,0.5588,18.0,27.5
110,391,40,0.5769,189.0,10.5
110,419,12,0.5,157.0,162.5
110,339,93,0.6467,71.0,130.5
110,421,11,-0.8,43.0,35.0
110,400,34,0.4545,16.0,31.0
110,331,104,0.5583,75.0,132.5
110,402,33,0.6094,190.0,8.5
110,420,15,0.5357,20.0,27.5
110,426,9,-0.25,172.0,170.0
110,429,10,-0.2778,180.0,177.5
110,340,100,0.6313,64.0,126.5
110,423,17,-0.6875,145.0,134.0
110,392,49,0.0521,10.0,12.5
110,424,17,-0.125,176.0,174.0
110,408,35,0.4118,156.0,170.0
110,351,93,0.6467,65.0,124.5
110,416,28,0.4259,155.0,166.5
