rule,variant,entropy_mean,entropy_std,corr_length_mean,corr_length_std
32,"[E,D₂]",0.0,0.0,0.0,0.0
32,"[E²,D]",0.0,0.0,0.0,0.0
32,"[E³,D]",0.0,0.0,0.0,0.0
32,"[E⁴,D]",0.0,0.0,0.0,0.0
32,"[E,[E,D]]",0.0,0.0,0.0,0.0
32,"{E,D}",0.0,0.0,0.0,0.0
45,"[E,D]",0.9379583786717137,0.005799513545298728,1.873111111111111,0.03968331427815431
45,"[E,D₂]",0.9839101572622796,0.002110761638978076,1.044888888888889,0.019393265981574575
45,"[E²,D]",0.9670447378464373,0.0036583307312035387,1.0115555555555555,0.005691665988829236
45,"[E³,D]",0.9704668849238015,0.0025236731537451435,1.052888888888889,0.025235679229472688
45,"[E⁴,D]",0.9762246010984729,0.0019335661838667303,1.000888888888889,0.0022662308949301033
45,"[E,[E,D]]",0.9900049795754006,0.0012084019393467482,1.0082222222222224,0.007440297352348101
45,"{E,D}",0.6804494369242332,0.008999685707298102,1.6013333333333333,0.06084345425701872
54,"[E,D]",0.8195513031738222,0.021129465682088157,1.0124444444444445,0.018756398085341502
54,"[E,D₂]",0.9454997263820794,0.05568926389511634,1.320888888888889,0.22357190132422367
54,"[E²,D]",0.9226606868726691,0.050993266703782555,1.0193333333333334,0.0396409814132724
54,"[E³,D]",0.9493748484196797,0.043561339220555134,1.0495555555555556,0.08089651978657826
54,"[E⁴,D]",0.9422023031587182,0.030183009787495763,1.047777777777778,0.05383330466688838
54,"[E,[E,D]]",0.8073573387664337,0.04239684960122599,1.010888888888889,0.01981270324505324
54,"{E,D}",0.867055984555209,0.11063542703249372,4.159777777777777,1.1295170824322105
60,"[E,D]",0.0,0.0,0.0,0.0
60,"[E,D₂]",0.0,0.0,0.0,0.0
60,"[E²,D]",0.0,0.0,0.0,0.0
60,"[E³,D]",0.0,0.0,0.0,0.0
60,"[E⁴,D]",0.0,0.0,0.0,0.0
60,"[E,[E,D]]",0.0,0.0,0.0,0.0
60,"{E,D}",0.9931916550083738,0.0007483170285906834,1.0,0.0
73,"[E,D]",0.8613001376386983,0.0422319327765226,1.0,0.0
73,"[E,D₂]",0.9815144091146137,0.013480482629989991,1.0,0.0
73,"[E²,D]",0.9565685373502668,0.018004996165116898,1.0,0.0
73,"[E³,D]",0.9315973501149364,0.048999787172423884,1.0222222222222224,0.09568982814216224
73,"[E⁴,D]",0.9900603122125068,0.012633874907096153,1.0,0.0
73,"[E,[E,D]]",0.9785113582731371,0.013667826622871115,1.0,0.0
73,"{E,D}",0.0,0.0,0.0,0.0
90,"[E,D]",0.0,0.0,0.0,0.0
90,"[E,D₂]",0.0,0.0,0.0,0.0
90,"[E²,D]",0.0,0.0,0.0,0.0
90,"[E³,D]",0.0,0.0,0.0,0.0
90,"[E⁴,D]",0.0,0.0,0.0,0.0
90,"[E,[E,D]]",0.0,0.0,0.0,0.0
90,"{E,D}",0.9926588366826706,0.0011167593017586113,1.0,0.0
105,"[E,D]",0.0,0.0,0.0,0.0
105,"[E,D₂]",0.0,0.0,0.0,0.0
105,"[E²,D]",0.0,0.0,0.0,0.0
105,"[E³,D]",0.0,0.0,0.0,0.0
105,"[E⁴,D]",0.0,0.0,0.0,0.0
105,"[E,[E,D]]",0.0,0.0,0.0,0.0
105,"{E,D}",0.0,0.0,0.0,0.0
106,"[E,D]",0.9894943091495562,0.0017500369379550235,1.0395555555555556,0.023025482394646413
106,"[E,D₂]",0.8852719822147743,0.022287417574814786,1.1504444444444446,0.06439883443466357
106,"[E²,D]",0.9470170144288848,0.009867088530506581,1.0,0.0
106,"[E³,D]",0.9825296368219031,0.003981280685864718,1.004,0.006110100926607812
106,"[E⁴,D]",0.9775037089096283,0.004505528917483532,1.002,0.004914076530554673
106,"[E,[E,D]]",0.9796990323060495,0.031145770163910645,1.111111111111111,0.1872952379876208
106,"{E,D}",0.8072093173905212,0.016009253366190326,1.0,0.0
108,"[E,D]",0.10820094109482535,0.09460405638004817,0.6666666666666666,0.4714045207910317
108,"[E,D₂]",0.03673417011879835,0.056223749243236476,0.36666666666666664,0.48189440982669857
108,"[E²,D]",0.03674388638697808,0.05479180283070461,0.3333333333333333,0.4714045207910317
108,"[E³,D]",0.07139627585539964,0.06699626924340667,0.6,0.4898979485566357
108,"[E⁴,D]",0.035150567871636965,0.06223436480339843,0.3,0.458257569495584
