rule,wolfram_class,best_affine,perturbation_magnitude,perturbation_weight,perturbation_coherence,is_affine,g_entropy,g_entropy_std,g_corr_length
58,2,1^C,2,0.25,0.5714285714285714,False,0.7700368864294963,0.17046355129312213,2.3666666666666667
59,0,1^C,1,0.125,0.7142857142857143,False,0.7800268889962242,0.16254857378871593,1.4333333333333333
60,3,L^C,0,0.0,0.0,True,0.0,0.0,0.0
61,0,L^C,1,0.125,0.8571428571428572,False,0.8085823340073123,0.04254731521151421,1.0
62,2,L^C,1,0.125,0.7142857142857143,False,0.321181247578089,0.08588560675544864,1.0
63,0,1,2,0.25,0.8571428571428572,False,0.929624486303295,0.05660305702398371,1.3666666666666667
64,0,0,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
65,0,0,2,0.25,0.5714285714285714,False,0.6968271550267439,0.035837927319103374,1.0
66,0,0,2,0.25,0.4285714285714286,False,0.9738230516338761,0.023822713994437444,1.7
67,0,1^L^C,1,0.125,0.8571428571428572,False,0.7175847805064001,0.033691025267971554,1.0
68,0,0,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
69,0,1^R,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
70,0,C^R,1,0.125,0.7142857142857143,False,0.5402873870326158,0.07198321907825823,1.0
71,0,1^L,2,0.25,0.4285714285714286,False,0.942057789633658,0.02914475230330174,1.0
72,2,0,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
73,3,1^L^C^R,1,0.125,0.7142857142857143,False,0.8830066416254796,0.0411768170194214,1.0
74,0,L^R,1,0.125,0.7142857142857143,False,0.7915502649599201,0.055548419111239505,1.0
75,3,1^L,2,0.25,0.4285714285714286,False,0.8071546047206389,0.00592187521420493,1.0
76,2,C,1,0.125,0.8571428571428572,False,0.0,0.0,0.0
77,2,1^L,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
78,2,1^L,2,0.25,0.5714285714285714,False,0.0,0.0,0.0
79,0,1^L,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
80,0,0,2,0.25,0.4285714285714286,False,0.5323746558293667,0.061238644480841625,1.0
81,0,1^R,1,0.125,0.7142857142857143,False,0.8253596981994985,0.10414244523384554,1.0
82,0,L^R,1,0.125,0.7142857142857143,False,0.9010715767702631,0.019803174201188663,1.0
83,0,1^C,2,0.25,0.7142857142857143,False,0.9710612217266027,0.03170722403605401,1.0
84,0,1^R,1,0.125,0.8571428571428572,False,0.3455278041858866,0.2022026864875439,2.4
85,0,1^R,0,0.0,0.0,True,0.0,0.0,0.0
86,3,1^R,2,0.25,0.8571428571428572,False,0.9496529985257962,0.002352202959509845,1.0
87,0,1^R,1,0.125,0.7142857142857143,False,0.545906647446113,0.07266752943713665,1.0
88,0,L^R,1,0.125,0.7142857142857143,False,0.7873893247510715,0.049544905115324785,1.0
89,3,1^R,2,0.25,0.7142857142857143,False,0.8063316804582158,0.005254659536517841,1.0
90,3,L^R,0,0.0,0.0,True,0.0,0.0,0.0
91,0,L^R,1,0.125,0.8571428571428572,False,0.8732882780748508,0.10037036406902443,1.8333333333333333
92,0,C,2,0.25,0.5714285714285714,False,0.0,0.0,0.0
93,0,1^R,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
94,2,L^R,1,0.125,0.7142857142857143,False,0.34474851671342777,0.1171633027618635,1.0333333333333334
95,0,1,2,0.25,0.5714285714285714,False,0.7982345677614335,0.06489417977587868,1.0
96,0,0,2,0.25,0.7142857142857143,False,0.0,0.0,0.0
97,0,1^L^C^R,1,0.125,0.7142857142857143,False,0.2837516094730002,0.024347647284884283,0.9666666666666667
98,0,C^R,1,0.125,0.7142857142857143,False,0.7601197212630645,0.13352269088988822,1.3333333333333333
99,0,1^C,2,0.25,0.4285714285714286,False,0.30207289548252664,0.19924916585638977,2.1666666666666665
100,0,C^R,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
101,3,1^R,2,0.25,0.7142857142857143,False,0.937436991324753,0.006396811535243785,1.8666666666666667
102,3,C^R,0,0.0,0.0,True,0.0,0.0,0.0
103,0,C^R,1,0.125,0.8571428571428572,False,0.8454492889406658,0.07494606629356426,1.0333333333333334
104,2,1^L^C^R,1,0.125,0.8571428571428572,False,0.0,0.0,0.0
105,3,1^L^C^R,0,0.0,0.0,True,0.0,0.0,0.0
106,4,R,2,0.25,0.8571428571428572,False,0.9891943055563228,0.002666732125631794,1.0666666666666667
107,3,1^L^C^R,1,0.125,0.7142857142857143,False,0.736064485619475,0.019805748283202577,1.0
108,2,C,2,0.25,0.5714285714285714,False,0.1211482443499387,0.0917759380635306,0.7333333333333333
109,3,1^L^C^R,1,0.125,0.7142857142857143,False,0.9593311783639166,0.027675458039577626,1.0333333333333334
110,4,C^R,1,0.125,0.7142857142857143,False,0.9375359421684293,0.0038501476060870217,1.0
111,0,1,2,0.25,0.5714285714285714,False,0.9872033667679524,0.013387059982791834,1.0666666666666667
112,0,L,1,0.125,0.8571428571428572,False,0.4921773711689872,0.11324542322089336,1.7333333333333334
113,0,L,2,0.25,0.7142857142857143,False,0.3522598475663846,0.21033005782723868,2.2333333333333334
114,0,L,2,0.25,0.5714285714285714,False,0.7725054933633276,0.1555610922601496,2.566666666666667
115,0,1^C,1,0.125,0.7142857142857143,False,0.7890644818950558,0.127722359395631,1.4666666666666666
116,0,L,2,0.25,0.5714285714285714,False,0.8609192868686217,0.04549615233680612,1.0
117,0,1^R,1,0.125,0.7142857142857143,False,0.9490979716636235,0.034307711436419565,1.0
118,0,C^R,1,0.125,0.7142857142857143,False,0.3257336220008995,0.0940599521061942,1.0
119,0,1,2,0.25,0.5714285714285714,False,0.9539066708914311,0.03743523346709504,1.2666666666666666
120,0,L,2,0.25,0.5714285714285714,False,0.9881852071863331,0.002478628875616635,1.0333333333333334
121,3,1^L^C^R,1,0.125,0.7142857142857143,False,0.7359335384764792,0.01933775781217369,1.0
122,3,L^R,1,0.125,0.7142857142857143,False,0.5695093935096219,0.01688706810875068,1.0
123,0,1,2,0.25,0.5714285714285714,False,0.8357543950899798,0.04441500383500157,1.0
124,4,L^C,1,0.125,0.7142857142857143,False,0.9388352536375688,0.002905496557085245,1.0
125,0,1,2,0.25,0.5714285714285714,False,0.9905526907674779,0.008823178109755305,1.0666666666666667
126,3,1,2,0.25,0.7142857142857143,False,0.8163462622752474,0.006125400859880197,1.0
127,0,1,1,0.125,0.8571428571428572,False,0.7696805270178206,0.10005917022688551,1.0
128,1,0,1,0.125,0.8571428571428572,False,0.0,0.0,0.0
129,3,0,2,0.25,0.7142857142857143,False,0.8151058719184034,0.007887373761717626,1.0
130,2,0,2,0.25,0.5714285714285714,False,0.6983271515017726,0.05578383965162678,1.0
131,4,1^L^C,1,0.125,0.7142857142857143,False,0.9138102699202583,0.007295555409374471,1.0
132,2,0,2,0.25,0.5714285714285714,False,0.0,0.0,0.0
133,0,1^L^R,1,0.125,0.7142857142857143,False,0.3602587788585572,0.11432605766195707,1.0
134,2,L^C^R,1,0.125,0.7142857142857143,False,0.7852430449875041,0.04737599816390392,1.0
135,0,1^L,2,0.25,0.5714285714285714,False,0.8069818550871262,0.003413146564053045,1.0
136,1,0,2,0.25,0.5714285714285714,False,0.0,0.0,0.0
137,4,1^C^R,1,0.125,0.7142857142857143,False,0.9238165335048538,0.005688999017807082,1.0
138,2,R,1,0.125,0.7142857142857143,False,0.5645522388417885,0.08088376534614773,1.0
139,0,1^L,2,0.25,0.5714285714285714,False,0.9731514566149996,0.02049959926881617,1.0
140,2,C,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
141,0,1^L,2,0.25,0.5714285714285714,False,0.0,0.0,0.0
142,2,1^L,2,0.25,0.7142857142857143,False,0.30457257085183953,0.22905817071774434,2.1
143,0,1^L,1,0.125,0.8571428571428572,False,0.23129542695513244,0.17600064210765282,0.9666666666666667
144,0,0,2,0.25,0.5714285714285714,False,0.7090480560587941,0.0560670271781735,1.0
145,0,1^C^R,1,0.125,0.7142857142857143,False,0.9131419036272995,0.0054050089864419535,1.0
